observation_date,BAA10Y
2002-01-01,2.83
2002-02-01,2.98
2002-03-01,2.82
2002-04-01,2.82
2002-05-01,2.92
2002-06-01,3.02
2002-07-01,3.24
2002-08-01,3.32
2002-09-01,3.53
2002-10-01,3.79
2002-11-01,3.57
2002-12-01,3.42
2003-01-01,3.30
2003-02-01,3.15
2003-03-01,3.14
2003-04-01,2.89
2003-05-01,2.81
2003-06-01,2.86
2003-07-01,2.64
2003-08-01,2.57
2003-09-01,2.52
2003-10-01,2.44
2003-11-01,2.36
2003-12-01,2.33
2004-01-01,2.29
2004-02-01,2.18
2004-03-01,2.29
2004-04-01,2.11
2004-05-01,2.03
2004-06-01,2.05
2004-07-01,2.12
2004-08-01,2.18
2004-09-01,2.14
2004-10-01,2.11
2004-11-01,2.01
2004-12-01,1.92
2005-01-01,1.80
2005-02-01,1.65
2005-03-01,1.56
2005-04-01,1.71
2005-05-01,1.86
2005-06-01,1.86
2005-07-01,1.78
2005-08-01,1.70
2005-09-01,1.83
2005-10-01,1.83
2005-11-01,1.86
2005-12-01,1.85
2006-01-01,1.82
2006-02-01,1.70
2006-03-01,1.69
2006-04-01,1.69
2006-05-01,1.64
2006-06-01,1.67
2006-07-01,1.67
2006-08-01,1.71
2006-09-01,1.71
2006-10-01,1.70
2006-11-01,1.61
2006-12-01,1.65
2007-01-01,1.58
2007-02-01,1.55
2007-03-01,1.70
2007-04-01,1.70
2007-05-01,1.64
2007-06-01,1.59
2007-07-01,1.65
2007-08-01,1.98
2007-09-01,2.07
2007-10-01,1.95
2007-11-01,2.25
2007-12-01,2.55
2008-01-01,2.80
2008-02-01,3.09
2008-03-01,3.38
2008-04-01,3.29
2008-05-01,3.05
2008-06-01,2.97
2008-07-01,3.15
2008-08-01,3.26
2008-09-01,3.63
2008-10-01,5.06
2008-11-01,5.69
2008-12-01,6.01
2009-01-01,5.63
2009-02-01,5.21
2009-03-01,5.60
2009-04-01,5.46
2009-05-01,4.77
2009-06-01,3.77
2009-07-01,3.53
2009-08-01,2.99
2009-09-01,2.91
2009-10-01,2.90
2009-11-01,2.92
2009-12-01,2.78
2010-01-01,2.51
2010-02-01,2.65
2010-03-01,2.55
2010-04-01,2.41
2010-05-01,2.63
2010-06-01,3.03
2010-07-01,3.00
2010-08-01,2.96
2010-09-01,3.01
2010-10-01,3.18
2010-11-01,3.16
2010-12-01,2.81
2011-01-01,2.69
2011-02-01,2.57
2011-03-01,2.62
2011-04-01,2.57
2011-05-01,2.61
2011-06-01,2.75
2011-07-01,2.76
2011-08-01,3.06
2011-09-01,3.30
2011-10-01,3.22
2011-11-01,3.12
2011-12-01,3.27
2012-01-01,3.26
2012-02-01,3.17
2012-03-01,3.06
2012-04-01,3.14
2012-05-01,3.27
2012-06-01,3.40
2012-07-01,3.35
2012-08-01,3.23
2012-09-01,3.12
2012-10-01,2.84
2012-11-01,2.86
2012-12-01,2.91
2013-01-01,2.82
2013-02-01,2.86
2013-03-01,2.90
2013-04-01,2.83
2013-05-01,2.80
2013-06-01,2.89
