,return_ann,std_dev,sharpe_ratio,sim,dataset,num_countries
0.025,0.0037873532179701908,0.049094525655202614,0.052862069038600176,csm-2,csm,2
0.5,0.008130249647878118,0.0688349367504978,0.12360575505447627,csm-2,csm,2
0.975,0.013328320375726621,0.08534579509009364,0.1911936140930052,csm-2,csm,2
0.025,0.004750186990752692,0.04900130052665308,0.07170261141743753,csm-3,csm,3
0.5,0.008505154614707688,0.06558584888345882,0.13351497090180728,csm-3,csm,3
0.975,0.012519545935352427,0.07870180699749592,0.19761239529811842,csm-3,csm,3
0.025,0.0059947288135425774,0.05166219920383075,0.0941368287392709,csm-5,csm,5
0.5,0.008735259337188661,0.06216255500601656,0.14169976732252992,csm-5,csm,5
0.975,0.01170535431356945,0.07168558981847437,0.19228932086097977,csm-5,csm,5
0.025,0.006747607044612858,0.053242185294808765,0.10828323650780686,csm-7,csm,7
0.5,0.008875838809371706,0.0608022498105295,0.14633666972156603,csm-7,csm,7
0.975,0.011086804065406408,0.06823366933281982,0.18773250819393353,csm-7,csm,7
0.025,0.007404491606709085,0.05481921660096833,0.12185599993160455,csm-10,csm,10
0.5,0.008938393885107532,0.05977666829352846,0.14938324569096112,csm-10,csm,10
0.975,0.010387319976585263,0.06529930487109784,0.17830238312142646,csm-10,csm,10
0.025,0.007997710680057946,0.05636660448687613,0.13320159810765528,csm-13,csm,13
0.5,0.008984101981988513,0.05909429407971113,0.15109415674911517,csm-13,csm,13
0.975,0.009783711147404395,0.06288452349100535,0.17036125492152088,csm-13,csm,13
0.025,0.008980684939234429,0.058908523938285745,0.15245136592868716,csm-16,csm,16
0.5,0.008980684939234429,0.058908523938285745,0.1524513659286872,csm-16,csm,16
0.975,0.008980684939234429,0.05890852393828575,0.1524513659286872,csm-16,csm,16
0.025,0.005168103593025775,0.04131783109089271,0.08884567760002635,trad-2,trad,2
0.5,0.007833954731138348,0.06038071117421455,0.1317830706180591,trad-2,trad,2
0.975,0.010481067694196877,0.07528867969444934,0.1857336075401355,trad-2,trad,2
0.025,0.0058880968296017855,0.04582292333724759,0.09955456949831479,trad-3,trad,3
0.5,0.00793918695578899,0.05725564139644632,0.13955265120502874,trad-3,trad,3
0.975,0.010084630185105192,0.06843668142246048,0.18034853444738966,trad-3,trad,3
0.025,0.006468386680599236,0.04772256837301807,0.11600128170503932,trad-5,trad,5
0.5,0.00803132755287228,0.05554504171823756,0.14486692964408648,trad-5,trad,5
0.975,0.009625921624204725,0.06343491976559451,0.17481827433090016,trad-5,trad,5
0.025,0.00689428894527237,0.04904422693646326,0.12442484947934422,trad-7,trad,7
0.5,0.008096768461695714,0.05497535327383911,0.1475047304379468,trad-7,trad,7
0.975,0.009309775584116275,0.06095557639970515,0.1710171576565483,trad-7,trad,7
0.025,0.007251926001758058,0.0505150030317103,0.13332678862933736,trad-10,trad,10
0.5,0.008119799580277975,0.05435114250217728,0.14914217437988822,trad-10,trad,10
0.975,0.008933321091030778,0.05848472793112324,0.1657759961163464,trad-10,trad,10
0.025,0.007610359312914089,0.05187774900894375,0.14051697092593063,trad-13,trad,13
0.5,0.008147990044240938,0.05407929993172302,0.1501963668166507,trad-13,trad,13
0.975,0.008624979918687492,0.0567098737416715,0.16080309292007,trad-13,trad,13
0.025,0.008146247203992596,0.05393517600048597,0.15103774212063747,trad-16,trad,16
0.5,0.008146247203992596,0.053935176000485974,0.15103774212063747,trad-16,trad,16
0.975,0.008146247203992596,0.053935176000485974,0.1510377421206375,trad-16,trad,16
